element_type,element_id,name,x,y,z,width,depth,height,rotation,capacity,metadata
rack,Rack-L2,Storage Rack L2,303,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-L3,Storage Rack L3,303,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-L4,Storage Rack L4,303,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-L5,Storage Rack L5,303,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-L6,Storage Rack L6,303,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-M1,Storage Rack M1,323,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-M2,Storage Rack M2,323,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-M3,Storage Rack M3,323,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-M4,Storage Rack M4,323,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-M5,Storage Rack M5,323,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-M6,Storage Rack M6,323,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-N1,Storage Rack N1,331,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-N2,Storage Rack N2,331,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-N3,Storage Rack N3,331,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-N4,Storage Rack N4,331,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-N5,Storage Rack N5,331,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-N6,Storage Rack N6,331,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-O1,Storage Rack O1,351,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-O2,Storage Rack O2,351,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-O3,Storage Rack O3,351,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-O4,Storage Rack O4,351,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-O5,Storage Rack O5,351,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-O6,Storage Rack O6,351,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-P1,Storage Rack P1,359,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-P2,Storage Rack P2,359,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-P3,Storage Rack P3,359,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-P4,Storage Rack P4,359,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-P5,Storage Rack P5,359,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-P6,Storage Rack P6,359,160,0,12,5,20,90,250,"{""levels"": 7}"
dock,Dock-1,Receiving Door 1,185,5,0,15,15,12,0,5,"{""type"": ""receiving""}"
dock,Dock-2,Receiving Door 2,200,5,0,15,15,12,0,5,"{""type"": ""receiving""}"
dock,Dock-3,Receiving Door 3,215,5,0,15,15,12,0,5,"{""type"": ""receiving""}"
dock,Dock-4,Shipping Door 1,315,5,0,15,15,12,0,5,"{""type"": ""shipping""}"
dock,Dock-5,Shipping Door 2,330,5,0,15,15,12,0,5,"{""type"": ""shipping""}"
dock,Dock-6,Shipping Door 3,345,5,0,15,15,12,0,5,"{""type"": ""shipping""}"
wall,Wall-West,West Wall,140,100,0,2,200,25,0,,"{}"
wall,Wall-East,East Wall,388,100,0,2,200,25,0,,"{}"
wall,Wall-North,North Wall,264,200,0,248,2,25,0,,"{}"
wall,Wall-South,South Wall,264,0,0,248,2,25,0,,"{""openings"":[{""x"":185,""width"":15},{""x"":200,""width"":15},{""x"":215,""width"":15},{""x"":315,""width"":15},{""x"":330,""width"":15},{""x"":345,""width"":15}]}"
yard,Yard-1,Truck Yard,260,-60,0,360,140,0,0,0,"{""surface"":""asphalt"",""type"":""exterior""}"
wall,Wall-Yard-West,West Yard Boundary,100,55,0,2,370,15,0,,"{""material"":""concrete"",""yard_boundary"":true}"
wall,Wall-Yard-East,East Yard Boundary,420,55,0,2,370,15,0,,"{""material"":""concrete"",""yard_boundary"":true}"
wall,Wall-Yard-South,South Yard Boundary,260,-130,0,320,2,15,0,,"{""material"":""concrete"",""yard_boundary"":true,""gate_opening"":{""x"":260,""width"":45}}"
wall,Wall-Yard-North,North Yard Boundary,260,240,0,320,2,15,0,,"{""material"":""concrete"",""yard_boundary"":true}"
gate,Gate-Main,Security Gate,260,-130,0,45,12,15,0,0,"{""type"":""security"",""access"":""bidirectional"",""status"":""closed"",""lanes"":2}"
parking,Parking-Lot,Truck Parking,260,-115,0,280,30,0,0,10,"{""type"":""truck"",""angle"":90,""capacity"":10}"
parking,Space-P1,Parking Bay P1,135,-115,0,15,30,0,0,1,"{""bay_number"":1,""type"":""truck""}"
parking,Space-P2,Parking Bay P2,155,-115,0,15,30,0,0,1,"{""bay_number"":2,""type"":""truck""}"
parking,Space-P3,Parking Bay P3,175,-115,0,15,30,0,0,1,"{""bay_number"":3,""type"":""truck""}"
parking,Space-P4,Parking Bay P4,195,-115,0,15,30,0,0,1,"{""bay_number"":4,""type"":""truck""}"
parking,Space-P5,Parking Bay P5,215,-115,0,15,30,0,0,1,"{""bay_number"":5,""type"":""truck""}"
parking,Space-P6,Parking Bay P6,305,-115,0,15,30,0,0,1,"{""bay_number"":6,""type"":""truck""}"
parking,Space-P7,Parking Bay P7,325,-115,0,15,30,0,0,1,"{""bay_number"":7,""type"":""truck""}"
parking,Space-P8,Parking Bay P8,345,-115,0,15,30,0,0,1,"{""bay_number"":8,""type"":""truck""}"
parking,Space-P9,Parking Bay P9,365,-115,0,15,30,0,0,1,"{""bay_number"":9,""type"":""truck""}"
parking,Space-P10,Parking Bay P10,385,-115,0,15,30,0,0,1,"{""bay_number"":10,""type"":""truck""}"
