box_id,rack_id,level,position,x,y,z,status,capacity_used,last_updated
BOX-Rack-A6-L3-P3,Rack-A6,2,3,141.50,110.00,7.14,stored,65,2026-01-16T14:29:48.120Z
BOX-Rack-A6-L6-P1,Rack-A6,3,1,138.50,110.00,15.71,stored,66,2026-01-23T14:29:48.120Z
BOX-Rack-A6-L6-P2,Rack-A6,3,2,140.00,110.00,15.71,stored,60,2026-01-14T14:29:48.120Z
BOX-Rack-A6-L6-P3,Rack-A6,3,3,141.50,110.00,15.71,stored,61,2026-01-19T14:29:48.120Z
BOX-Rack-B1-L1-P2,Rack-B1,1,2,180.00,35.00,1.43,stored,72,2026-01-20T14:29:48.120Z
BOX-Rack-B1-L1-P3,Rack-B1,1,3,181.50,35.00,1.43,stored,74,2026-01-29T14:29:48.120Z
BOX-Rack-B1-L2-P1,Rack-B1,1,1,178.50,35.00,4.29,stored,77,2026-01-08T14:29:48.120Z
BOX-Rack-B1-L3-P3,Rack-B1,2,3,181.50,35.00,7.14,stored,87,2026-02-04T14:29:48.120Z
BOX-Rack-B1-L4-P1,Rack-B1,2,1,178.50,35.00,10.00,stored,73,2026-01-16T14:29:48.120Z
BOX-Rack-B1-L4-P2,Rack-B1,2,2,180.00,35.00,10.00,stored,71,2026-01-13T14:29:48.120Z
BOX-Rack-B1-L6-P3,Rack-B1,3,3,181.50,35.00,15.71,stored,67,2026-02-01T14:29:48.120Z
BOX-Rack-B1-L7-P1,Rack-B1,3,1,178.50,35.00,18.57,stored,66,2026-01-11T14:29:48.120Z
BOX-Rack-B2-L1-P1,Rack-B2,1,1,178.50,50.00,1.43,stored,64,2026-01-22T14:29:48.120Z
BOX-Rack-B2-L1-P2,Rack-B2,1,2,180.00,50.00,1.43,stored,75,2026-02-03T14:29:48.120Z
BOX-Rack-B2-L1-P3,Rack-B2,1,3,181.50,50.00,1.43,stored,81,2026-02-01T14:29:48.120Z
BOX-Rack-B2-L3-P1,Rack-B2,2,1,178.50,50.00,7.14,stored,78,2026-01-10T14:29:48.120Z
BOX-Rack-B2-L3-P2,Rack-B2,2,2,180.00,50.00,7.14,stored,84,2026-01-26T14:29:48.120Z
BOX-Rack-B2-L3-P3,Rack-B2,2,3,181.50,50.00,7.14,stored,81,2026-01-31T14:29:48.120Z
BOX-Rack-B2-L6-P1,Rack-B2,3,1,178.50,50.00,15.71,stored,67,2026-01-22T14:29:48.120Z
BOX-Rack-B2-L6-P2,Rack-B2,3,2,180.00,50.00,15.71,stored,74,2026-01-30T14:29:48.120Z
BOX-Rack-B2-L7-P3,Rack-B2,3,3,181.50,50.00,18.57,stored,69,2026-01-19T14:29:48.120Z
BOX-Rack-B3-L1-P1,Rack-B3,1,1,178.50,65.00,1.43,stored,73,2026-01-07T14:29:48.121Z
BOX-Rack-B3-L1-P2,Rack-B3,1,2,180.00,65.00,1.43,stored,61,2026-01-11T14:29:48.121Z
BOX-Rack-B3-L1-P3,Rack-B3,1,3,181.50,65.00,1.43,stored,78,2026-01-17T14:29:48.121Z
BOX-Rack-B3-L3-P1,Rack-B3,2,1,178.50,65.00,7.14,stored,82,2026-01-19T14:29:48.121Z
BOX-Rack-B3-L3-P2,Rack-B3,2,2,180.00,65.00,7.14,stored,78,2026-01-13T14:29:48.121Z
BOX-Rack-B3-L3-P3,Rack-B3,2,3,181.50,65.00,7.14,stored,65,2026-01-26T14:29:48.121Z
BOX-Rack-B3-L6-P1,Rack-B3,3,1,178.50,65.00,15.71,stored,68,2026-01-13T14:29:48.121Z
BOX-Rack-B3-L6-P2,Rack-B3,3,2,180.00,65.00,15.71,stored,72,2026-01-11T14:29:48.121Z
BOX-Rack-B3-L6-P3,Rack-B3,3,3,181.50,65.00,15.71,stored,74,2026-01-09T14:29:48.121Z
BOX-Rack-B4-L1-P1,Rack-B4,1,1,178.50,80.00,1.43,stored,66,2026-01-17T14:29:48.121Z
BOX-Rack-B4-L1-P2,Rack-B4,1,2,180.00,80.00,1.43,stored,62,2026-01-09T14:29:48.121Z
BOX-Rack-B4-L1-P3,Rack-B4,1,3,181.50,80.00,1.43,stored,76,2026-01-12T14:29:48.121Z
BOX-Rack-B4-L3-P1,Rack-B4,2,1,178.50,80.00,7.14,stored,74,2026-01-17T14:29:48.121Z
BOX-Rack-B4-L3-P2,Rack-B4,2,2,180.00,80.00,7.14,stored,61,2026-01-08T14:29:48.121Z
BOX-Rack-B4-L3-P3,Rack-B4,2,3,181.50,80.00,7.14,stored,64,2026-02-05T14:29:48.121Z
BOX-Rack-B4-L6-P2,Rack-B4,3,2,180.00,80.00,15.71,stored,80,2026-01-10T14:29:48.121Z
BOX-Rack-B4-L6-P3,Rack-B4,3,3,181.50,80.00,15.71,stored,76,2026-01-18T14:29:48.121Z
BOX-Rack-B4-L7-P1,Rack-B4,3,1,178.50,80.00,18.57,stored,78,2026-01-23T14:29:48.121Z
BOX-Rack-B5-L1-P1,Rack-B5,1,1,178.50,95.00,1.43,stored,67,2026-02-02T14:29:48.121Z
BOX-Rack-B5-L1-P2,Rack-B5,1,2,180.00,95.00,1.43,stored,64,2026-01-15T14:29:48.121Z
BOX-Rack-B5-L1-P3,Rack-B5,1,3,181.50,95.00,1.43,stored,69,2026-01-21T14:29:48.121Z
BOX-Rack-B5-L3-P1,Rack-B5,2,1,178.50,95.00,7.14,stored,72,2026-01-26T14:29:48.121Z
BOX-Rack-B5-L3-P2,Rack-B5,2,2,180.00,95.00,7.14,stored,77,2026-01-11T14:29:48.121Z
BOX-Rack-B5-L3-P3,Rack-B5,2,3,181.50,95.00,7.14,stored,68,2026-01-29T14:29:48.121Z
BOX-Rack-B5-L6-P1,Rack-B5,3,1,178.50,95.00,15.71,stored,69,2026-01-11T14:29:48.121Z
BOX-Rack-B5-L6-P2,Rack-B5,3,2,180.00,95.00,15.71,stored,62,2026-01-26T14:29:48.121Z
BOX-Rack-B6-L1-P2,Rack-B6,1,2,180.00,110.00,1.43,stored,81,2026-01-07T14:29:48.121Z
BOX-Rack-B6-L1-P3,Rack-B6,1,3,181.50,110.00,1.43,stored,67,2026-01-12T14:29:48.121Z
BOX-Rack-B6-L2-P1,Rack-B6,1,1,178.50,110.00,4.29,stored,65,2026-01-30T14:29:48.121Z
BOX-Rack-B6-L3-P1,Rack-B6,2,1,178.50,110.00,7.14,stored,75,2026-01-13T14:29:48.121Z
BOX-Rack-B6-L3-P2,Rack-B6,2,2,180.00,110.00,7.14,stored,79,2026-01-09T14:29:48.121Z
BOX-Rack-B6-L3-P3,Rack-B6,2,3,181.50,110.00,7.14,stored,82,2026-01-09T14:29:48.121Z
BOX-Rack-B6-L6-P1,Rack-B6,3,1,178.50,110.00,15.71,stored,60,2026-01-22T14:29:48.121Z
BOX-Rack-B6-L6-P2,Rack-B6,3,2,180.00,110.00,15.71,stored,70,2026-01-10T14:29:48.121Z
BOX-Rack-B6-L6-P3,Rack-B6,3,3,181.50,110.00,15.71,stored,61,2026-01-12T14:29:48.121Z
BOX-Rack-C1-L1-P1,Rack-C1,1,1,198.50,35.00,1.43,stored,71,2026-02-05T14:29:48.121Z
BOX-Rack-C1-L1-P3,Rack-C1,1,3,201.50,35.00,1.43,stored,67,2026-01-29T14:29:48.121Z
BOX-Rack-C1-L3-P1,Rack-C1,2,1,198.50,35.00,7.14,stored,64,2026-01-25T14:29:48.121Z
BOX-Rack-C1-L3-P2,Rack-C1,2,2,200.00,35.00,7.14,stored,67,2026-02-05T14:29:48.121Z
BOX-Rack-C1-L3-P3,Rack-C1,2,3,201.50,35.00,7.14,stored,68,2026-01-15T14:29:48.121Z
BOX-Rack-C1-L6-P1,Rack-C1,3,1,198.50,35.00,15.71,stored,64,2026-01-24T14:29:48.121Z
BOX-Rack-C1-L6-P2,Rack-C1,3,2,200.00,35.00,15.71,stored,88,2026-01-26T14:29:48.121Z
BOX-Rack-C1-L6-P3,Rack-C1,3,3,201.50,35.00,15.71,stored,81,2026-01-27T14:29:48.121Z
BOX-Rack-C2-L1-P1,Rack-C2,1,1,198.50,50.00,1.43,stored,80,2026-01-15T14:29:48.121Z
BOX-Rack-C2-L1-P2,Rack-C2,1,2,200.00,50.00,1.43,stored,77,2026-01-31T14:29:48.121Z
BOX-Rack-C2-L1-P3,Rack-C2,1,3,201.50,50.00,1.43,stored,77,2026-02-03T14:29:48.121Z
BOX-Rack-C2-L3-P1,Rack-C2,2,1,198.50,50.00,7.14,stored,67,2026-02-03T14:29:48.121Z
BOX-Rack-C2-L3-P2,Rack-C2,2,2,200.00,50.00,7.14,stored,68,2026-01-18T14:29:48.121Z
BOX-Rack-C2-L3-P3,Rack-C2,2,3,201.50,50.00,7.14,stored,74,2026-01-13T14:29:48.121Z
BOX-Rack-C2-L6-P1,Rack-C2,3,1,198.50,50.00,15.71,stored,60,2026-01-19T14:29:48.121Z
BOX-Rack-C2-L6-P2,Rack-C2,3,2,200.00,50.00,15.71,stored,71,2026-01-27T14:29:48.121Z
BOX-Rack-C2-L6-P3,Rack-C2,3,3,201.50,50.00,15.71,stored,74,2026-01-09T14:29:48.121Z
BOX-Rack-C3-L1-P1,Rack-C3,1,1,198.50,65.00,1.43,stored,67,2026-01-10T14:29:48.121Z
BOX-Rack-C3-L1-P2,Rack-C3,1,2,200.00,65.00,1.43,stored,81,2026-01-16T14:29:48.121Z
BOX-Rack-C3-L1-P3,Rack-C3,1,3,201.50,65.00,1.43,stored,84,2026-01-16T14:29:48.121Z
BOX-Rack-C3-L3-P2,Rack-C3,2,2,200.00,65.00,7.14,stored,61,2026-01-19T14:29:48.121Z
BOX-Rack-C3-L3-P3,Rack-C3,2,3,201.50,65.00,7.14,stored,76,2026-01-31T14:29:48.121Z
BOX-Rack-C3-L4-P1,Rack-C3,2,1,198.50,65.00,10.00,stored,77,2026-01-28T14:29:48.121Z
BOX-Rack-C3-L6-P1,Rack-C3,3,1,198.50,65.00,15.71,stored,79,2026-01-23T14:29:48.122Z
BOX-Rack-C3-L6-P2,Rack-C3,3,2,200.00,65.00,15.71,stored,83,2026-01-25T14:29:48.122Z
BOX-Rack-C3-L6-P3,Rack-C3,3,3,201.50,65.00,15.71,stored,65,2026-01-10T14:29:48.122Z
BOX-Rack-C4-L1-P1,Rack-C4,1,1,198.50,80.00,1.43,stored,68,2026-01-28T14:29:48.122Z
BOX-Rack-C4-L1-P2,Rack-C4,1,2,200.00,80.00,1.43,stored,71,2026-01-28T14:29:48.122Z
BOX-Rack-C4-L1-P3,Rack-C4,1,3,201.50,80.00,1.43,stored,70,2026-02-02T14:29:48.122Z
BOX-Rack-C4-L3-P1,Rack-C4,2,1,198.50,80.00,7.14,stored,75,2026-01-20T14:29:48.122Z
BOX-Rack-C4-L3-P3,Rack-C4,2,3,201.50,80.00,7.14,stored,85,2026-01-21T14:29:48.122Z
BOX-Rack-C4-L5-P2,Rack-C4,2,2,200.00,80.00,12.86,stored,88,2026-01-08T14:29:48.122Z
BOX-Rack-C4-L6-P1,Rack-C4,3,1,198.50,80.00,15.71,stored,73,2026-01-09T14:29:48.122Z
BOX-Rack-C4-L6-P2,Rack-C4,3,2,200.00,80.00,15.71,stored,77,2026-02-05T14:29:48.122Z
BOX-Rack-C4-L6-P3,Rack-C4,3,3,201.50,80.00,15.71,stored,88,2026-01-14T14:29:48.122Z
BOX-Rack-C5-L1-P1,Rack-C5,1,1,198.50,95.00,1.43,stored,60,2026-01-25T14:29:48.122Z
BOX-Rack-C5-L1-P2,Rack-C5,1,2,200.00,95.00,1.43,stored,74,2026-01-10T14:29:48.122Z
BOX-Rack-C5-L1-P3,Rack-C5,1,3,201.50,95.00,1.43,stored,79,2026-01-12T14:29:48.122Z
BOX-Rack-C5-L3-P1,Rack-C5,2,1,198.50,95.00,7.14,stored,88,2026-01-31T14:29:48.122Z
BOX-Rack-C5-L3-P2,Rack-C5,2,2,200.00,95.00,7.14,stored,87,2026-01-07T14:29:48.122Z
BOX-Rack-C5-L3-P3,Rack-C5,2,3,201.50,95.00,7.14,stored,73,2026-01-23T14:29:48.122Z
BOX-Rack-C5-L6-P2,Rack-C5,3,2,200.00,95.00,15.71,stored,60,2026-01-27T14:29:48.122Z
BOX-Rack-C5-L7-P3,Rack-C5,3,3,201.50,95.00,18.57,stored,77,2026-02-03T14:29:48.122Z
BOX-Rack-C6-L1-P1,Rack-C6,1,1,198.50,110.00,1.43,stored,77,2026-01-18T14:29:48.122Z
BOX-Rack-C6-L1-P2,Rack-C6,1,2,200.00,110.00,1.43,stored,89,2026-01-29T14:29:48.122Z
BOX-Rack-C6-L1-P3,Rack-C6,1,3,201.50,110.00,1.43,stored,82,2026-01-21T14:29:48.122Z
BOX-Rack-C6-L3-P2,Rack-C6,2,2,200.00,110.00,7.14,stored,69,2026-01-27T14:29:48.122Z
BOX-Rack-C6-L3-P3,Rack-C6,2,3,201.50,110.00,7.14,stored,86,2026-01-13T14:29:48.122Z
BOX-Rack-C6-L4-P1,Rack-C6,2,1,198.50,110.00,10.00,stored,88,2026-01-10T14:29:48.122Z
BOX-Rack-C6-L6-P1,Rack-C6,3,1,198.50,110.00,15.71,stored,80,2026-01-10T14:29:48.122Z
BOX-Rack-C6-L6-P2,Rack-C6,3,2,200.00,110.00,15.71,stored,77,2026-01-25T14:29:48.122Z
BOX-Rack-C6-L6-P3,Rack-C6,3,3,201.50,110.00,15.71,stored,79,2026-01-16T14:29:48.122Z
BOX-Rack-D1-L1-P1,Rack-D1,1,1,238.50,35.00,1.43,stored,88,2026-01-28T14:29:48.122Z
BOX-Rack-D1-L1-P2,Rack-D1,1,2,240.00,35.00,1.43,stored,85,2026-01-29T14:29:48.122Z
BOX-Rack-D1-L1-P3,Rack-D1,1,3,241.50,35.00,1.43,stored,75,2026-01-23T14:29:48.122Z
BOX-Rack-D1-L3-P1,Rack-D1,2,1,238.50,35.00,7.14,stored,60,2026-01-15T14:29:48.122Z
BOX-Rack-D1-L3-P2,Rack-D1,2,2,240.00,35.00,7.14,stored,83,2026-01-15T14:29:48.122Z
BOX-Rack-D1-L3-P3,Rack-D1,2,3,241.50,35.00,7.14,stored,85,2026-01-23T14:29:48.122Z
BOX-Rack-D1-L6-P2,Rack-D1,3,2,240.00,35.00,15.71,stored,69,2026-01-10T14:29:48.122Z
BOX-Rack-D1-L6-P3,Rack-D1,3,3,241.50,35.00,15.71,stored,79,2026-01-23T14:29:48.122Z
BOX-Rack-D1-L7-P1,Rack-D1,3,1,238.50,35.00,18.57,stored,62,2026-01-22T14:29:48.122Z
BOX-Rack-D2-L1-P1,Rack-D2,1,1,238.50,50.00,1.43,stored,82,2026-01-22T14:29:48.122Z
BOX-Rack-D2-L1-P2,Rack-D2,1,2,240.00,50.00,1.43,stored,73,2026-01-26T14:29:48.122Z
BOX-Rack-D2-L1-P3,Rack-D2,1,3,241.50,50.00,1.43,stored,77,2026-01-18T14:29:48.122Z
BOX-Rack-D2-L3-P1,Rack-D2,2,1,238.50,50.00,7.14,stored,74,2026-01-15T14:29:48.122Z
BOX-Rack-D2-L3-P2,Rack-D2,2,2,240.00,50.00,7.14,stored,84,2026-01-31T14:29:48.122Z
BOX-Rack-D2-L3-P3,Rack-D2,2,3,241.50,50.00,7.14,stored,62,2026-01-21T14:29:48.122Z
BOX-Rack-D2-L6-P1,Rack-D2,3,1,238.50,50.00,15.71,stored,80,2026-02-02T14:29:48.122Z
BOX-Rack-D2-L6-P2,Rack-D2,3,2,240.00,50.00,15.71,stored,62,2026-02-03T14:29:48.122Z
BOX-Rack-D2-L6-P3,Rack-D2,3,3,241.50,50.00,15.71,stored,67,2026-01-21T14:29:48.122Z
BOX-Rack-D3-L1-P1,Rack-D3,1,1,238.50,65.00,1.43,stored,69,2026-01-08T14:29:48.122Z
BOX-Rack-D3-L1-P2,Rack-D3,1,2,240.00,65.00,1.43,stored,60,2026-02-04T14:29:48.122Z
BOX-Rack-D3-L1-P3,Rack-D3,1,3,241.50,65.00,1.43,stored,60,2026-01-12T14:29:48.122Z
BOX-Rack-D3-L3-P1,Rack-D3,2,1,238.50,65.00,7.14,stored,67,2026-01-24T14:29:48.122Z
BOX-Rack-D3-L3-P2,Rack-D3,2,2,240.00,65.00,7.14,stored,67,2026-01-27T14:29:48.122Z
BOX-Rack-D3-L3-P3,Rack-D3,2,3,241.50,65.00,7.14,stored,71,2026-02-04T14:29:48.122Z
BOX-Rack-D3-L6-P1,Rack-D3,3,1,238.50,65.00,15.71,stored,73,2026-01-31T14:29:48.122Z
BOX-Rack-D3-L6-P2,Rack-D3,3,2,240.00,65.00,15.71,stored,78,2026-01-31T14:29:48.122Z
BOX-Rack-D3-L6-P3,Rack-D3,3,3,241.50,65.00,15.71,stored,86,2026-01-31T14:29:48.122Z
BOX-Rack-D4-L1-P1,Rack-D4,1,1,238.50,80.00,1.43,stored,67,2026-01-19T14:29:48.122Z
BOX-Rack-D4-L1-P2,Rack-D4,1,2,240.00,80.00,1.43,stored,89,2026-01-16T14:29:48.122Z
BOX-Rack-D4-L1-P3,Rack-D4,1,3,241.50,80.00,1.43,stored,62,2026-01-20T14:29:48.122Z
BOX-Rack-D4-L3-P1,Rack-D4,2,1,238.50,80.00,7.14,stored,75,2026-01-18T14:29:48.122Z
BOX-Rack-D4-L3-P2,Rack-D4,2,2,240.00,80.00,7.14,stored,78,2026-01-15T14:29:48.122Z
BOX-Rack-D4-L3-P3,Rack-D4,2,3,241.50,80.00,7.14,stored,70,2026-01-25T14:29:48.122Z
BOX-Rack-D4-L6-P1,Rack-D4,3,1,238.50,80.00,15.71,stored,71,2026-02-03T14:29:48.123Z
BOX-Rack-D4-L6-P2,Rack-D4,3,2,240.00,80.00,15.71,stored,63,2026-02-01T14:29:48.123Z
BOX-Rack-D4-L7-P3,Rack-D4,3,3,241.50,80.00,18.57,stored,72,2026-01-27T14:29:48.123Z
BOX-Rack-D5-L1-P1,Rack-D5,1,1,238.50,95.00,1.43,stored,70,2026-01-11T14:29:48.123Z
BOX-Rack-D5-L1-P2,Rack-D5,1,2,240.00,95.00,1.43,stored,67,2026-01-23T14:29:48.123Z
BOX-Rack-D5-L1-P3,Rack-D5,1,3,241.50,95.00,1.43,stored,72,2026-02-04T14:29:48.123Z
BOX-Rack-D5-L3-P1,Rack-D5,2,1,238.50,95.00,7.14,stored,79,2026-01-29T14:29:48.123Z
BOX-Rack-D5-L3-P2,Rack-D5,2,2,240.00,95.00,7.14,stored,82,2026-01-22T14:29:48.123Z
BOX-Rack-D5-L3-P3,Rack-D5,2,3,241.50,95.00,7.14,stored,83,2026-01-21T14:29:48.123Z
BOX-Rack-D5-L6-P1,Rack-D5,3,1,238.50,95.00,15.71,stored,60,2026-01-21T14:29:48.123Z
BOX-Rack-D5-L6-P2,Rack-D5,3,2,240.00,95.00,15.71,stored,74,2026-01-31T14:29:48.123Z
BOX-Rack-D5-L6-P3,Rack-D5,3,3,241.50,95.00,15.71,stored,74,2026-02-05T14:29:48.123Z
BOX-Rack-D6-L1-P1,Rack-D6,1,1,238.50,110.00,1.43,stored,79,2026-01-29T14:29:48.123Z
BOX-Rack-D6-L1-P2,Rack-D6,1,2,240.00,110.00,1.43,stored,76,2026-01-20T14:29:48.123Z
BOX-Rack-D6-L1-P3,Rack-D6,1,3,241.50,110.00,1.43,stored,72,2026-01-31T14:29:48.123Z
BOX-Rack-D6-L3-P1,Rack-D6,2,1,238.50,110.00,7.14,stored,62,2026-01-25T14:29:48.123Z
BOX-Rack-D6-L3-P2,Rack-D6,2,2,240.00,110.00,7.14,stored,87,2026-02-01T14:29:48.123Z
BOX-Rack-D6-L3-P3,Rack-D6,2,3,241.50,110.00,7.14,stored,80,2026-01-28T14:29:48.123Z
BOX-Rack-D6-L6-P3,Rack-D6,3,3,241.50,110.00,15.71,stored,87,2026-01-31T14:29:48.123Z
BOX-Rack-D6-L7-P1,Rack-D6,3,1,238.50,110.00,18.57,stored,73,2026-02-02T14:29:48.123Z
BOX-Rack-D6-L7-P2,Rack-D6,3,2,240.00,110.00,18.57,stored,81,2026-01-20T14:29:48.123Z
BOX-Rack-E1-L1-P1,Rack-E1,1,1,258.50,35.00,1.43,stored,77,2026-02-05T14:29:48.123Z
BOX-Rack-E1-L1-P2,Rack-E1,1,2,260.00,35.00,1.43,stored,60,2026-01-24T14:29:48.123Z
BOX-Rack-E1-L1-P3,Rack-E1,1,3,261.50,35.00,1.43,stored,60,2026-02-02T14:29:48.123Z
BOX-Rack-E1-L3-P1,Rack-E1,2,1,258.50,35.00,7.14,stored,81,2026-01-31T14:29:48.123Z
BOX-Rack-E1-L3-P2,Rack-E1,2,2,260.00,35.00,7.14,stored,89,2026-01-13T14:29:48.123Z
BOX-Rack-E1-L3-P3,Rack-E1,2,3,261.50,35.00,7.14,stored,77,2026-01-18T14:29:48.123Z
BOX-Rack-E1-L6-P1,Rack-E1,3,1,258.50,35.00,15.71,stored,84,2026-01-24T14:29:48.123Z
BOX-Rack-E1-L6-P2,Rack-E1,3,2,260.00,35.00,15.71,stored,74,2026-01-27T14:29:48.123Z
BOX-Rack-E1-L6-P3,Rack-E1,3,3,261.50,35.00,15.71,stored,79,2026-01-15T14:29:48.123Z
BOX-Rack-E2-L1-P1,Rack-E2,1,1,258.50,50.00,1.43,stored,61,2026-01-18T14:29:48.123Z
BOX-Rack-E2-L1-P2,Rack-E2,1,2,260.00,50.00,1.43,stored,77,2026-01-24T14:29:48.123Z
BOX-Rack-E2-L1-P3,Rack-E2,1,3,261.50,50.00,1.43,stored,86,2026-01-09T14:29:48.123Z
BOX-Rack-E2-L3-P1,Rack-E2,2,1,258.50,50.00,7.14,stored,81,2026-01-07T14:29:48.123Z
