box_id,sku,product_name,quantity,unit,category,weight,received_date
BOX-Rack-A2-L3-P1,SKU-2001,Coffee Maker,25,each,Home Goods,8.5,2026-01-08
BOX-Rack-A2-L3-P2,SKU-1006,Monitor 24inch,21,each,Electronics,12,2026-02-02
BOX-Rack-A2-L3-P3,SKU-1010,Power Bank,64,each,Electronics,0.9,2026-01-28
BOX-Rack-A2-L4-P3,SKU-3001,Motor Oil 5qt,34,bottle,Automotive,10.5,2026-01-13
BOX-Rack-A2-L5-P1,SKU-3001,Motor Oil 5qt,92,bottle,Automotive,10.5,2026-02-02
BOX-Rack-A2-L5-P1,SKU-3006,Spark Plug 4pk,60,pack,Automotive,0.8,2026-01-06
BOX-Rack-A2-L5-P2,SKU-3008,Tool Set 52pc,29,set,Automotive,12,2025-12-15
BOX-Rack-A2-L5-P3,SKU-3010,Jumper Cables,32,each,Automotive,4,2026-01-06
BOX-Rack-A2-L5-P3,SKU-3001,Motor Oil 5qt,41,bottle,Automotive,10.5,2026-01-30
BOX-Rack-A2-L6-P1,SKU-4004,Hex Bolt 1/2" 100pk,124,pack,Industrial,5,2026-01-02
BOX-Rack-A2-L6-P2,SKU-4001,Safety Goggles,102,each,Industrial,0.3,2026-01-30
BOX-Rack-A2-L6-P2,SKU-3007,Coolant 1gal,25,jug,Automotive,9.2,2025-12-18
BOX-Rack-A2-L7-P2,SKU-3003,Brake Pads Set,52,set,Automotive,8,2025-12-10
BOX-Rack-A2-L7-P2,SKU-3002,Air Filter,76,each,Automotive,1.5,2025-12-26
BOX-Rack-A2-L7-P3,SKU-4009,LED Work Light,25,each,Industrial,2.5,2026-01-17
BOX-Rack-A3-L1-P1,SKU-1001,Laptop Computer,23,each,Electronics,5.5,2026-01-31
BOX-Rack-A3-L1-P2,SKU-2009,Wall Clock,53,each,Home Goods,2.5,2026-01-01
BOX-Rack-A3-L1-P3,SKU-1006,Monitor 24inch,11,each,Electronics,12,2026-01-02
BOX-Rack-A3-L2-P1,SKU-2004,Bedding Set Queen,18,set,Home Goods,7,2026-01-01
BOX-Rack-A3-L2-P2,SKU-1005,Keyboard,47,each,Electronics,1.8,2026-01-23
BOX-Rack-A3-L2-P2,SKU-1010,Power Bank,68,each,Electronics,0.9,2026-01-11
BOX-Rack-A3-L2-P3,SKU-2005,Throw Pillows 4pk,22,pack,Home Goods,3.2,2025-12-30
BOX-Rack-A3-L3-P1,SKU-2010,Table Lamp,35,each,Home Goods,5.5,2025-12-14
BOX-Rack-A3-L3-P1,SKU-2009,Wall Clock,47,each,Home Goods,2.5,2026-01-20
BOX-Rack-A3-L3-P2,SKU-2004,Bedding Set Queen,18,set,Home Goods,7,2026-01-08
BOX-Rack-A3-L3-P2,SKU-1005,Keyboard,37,each,Electronics,1.8,2026-01-06
BOX-Rack-A3-L3-P3,SKU-2002,Blender,14,each,Home Goods,6.2,2026-01-31
BOX-Rack-A3-L4-P2,SKU-2006,Kitchen Knife Set,19,set,Home Goods,4.8,2025-12-28
BOX-Rack-A3-L4-P3,SKU-2009,Wall Clock,32,each,Home Goods,2.5,2025-12-11
BOX-Rack-A3-L5-P1,SKU-4001,Safety Goggles,141,each,Industrial,0.3,2025-12-26
BOX-Rack-A3-L5-P2,SKU-4009,LED Work Light,64,each,Industrial,2.5,2025-12-31
BOX-Rack-A3-L5-P2,SKU-3001,Motor Oil 5qt,51,bottle,Automotive,10.5,2025-12-28
BOX-Rack-A3-L6-P1,SKU-4004,Hex Bolt 1/2" 100pk,69,pack,Industrial,5,2026-01-30
BOX-Rack-A3-L6-P1,SKU-3007,Coolant 1gal,83,jug,Automotive,9.2,2026-02-02
BOX-Rack-A3-L6-P3,SKU-4004,Hex Bolt 1/2" 100pk,134,pack,Industrial,5,2026-01-05
BOX-Rack-A3-L6-P3,SKU-3004,Wiper Blades Pair,41,pair,Automotive,1.8,2026-01-09
BOX-Rack-A3-L7-P1,SKU-4006,Steel Cable 50ft,27,spool,Industrial,15,2025-12-27
BOX-Rack-A3-L7-P2,SKU-4001,Safety Goggles,143,each,Industrial,0.3,2025-12-11
BOX-Rack-A4-L1-P1,SKU-1004,Wireless Mouse,52,each,Electronics,0.3,2026-01-08
BOX-Rack-A4-L1-P1,SKU-2007,Cookware Set,18,set,Home Goods,15,2026-02-04
BOX-Rack-A4-L1-P2,SKU-2010,Table Lamp,22,each,Home Goods,5.5,2026-01-20
BOX-Rack-A4-L1-P3,SKU-1001,Laptop Computer,18,each,Electronics,5.5,2025-12-10
BOX-Rack-A4-L1-P3,SKU-1002,Tablet Device,19,each,Electronics,1.2,2026-01-31
BOX-Rack-A4-L2-P1,SKU-1003,Smartphone,52,each,Electronics,0.4,2026-01-09
BOX-Rack-A4-L2-P1,SKU-2003,Toaster,36,each,Home Goods,4.5,2026-01-26
BOX-Rack-A4-L2-P2,SKU-2004,Bedding Set Queen,10,set,Home Goods,7,2026-01-04
BOX-Rack-A4-L2-P2,SKU-1001,Laptop Computer,23,each,Electronics,5.5,2025-12-18
BOX-Rack-A4-L2-P3,SKU-1001,Laptop Computer,14,each,Electronics,5.5,2026-01-22
BOX-Rack-A4-L3-P1,SKU-1004,Wireless Mouse,73,each,Electronics,0.3,2026-02-06
BOX-Rack-A4-L3-P2,SKU-2003,Toaster,30,each,Home Goods,4.5,2026-02-06
BOX-Rack-A4-L3-P2,SKU-2007,Cookware Set,10,set,Home Goods,15,2026-01-28
BOX-Rack-A4-L3-P3,SKU-1003,Smartphone,54,each,Electronics,0.4,2025-12-12
BOX-Rack-A4-L3-P3,SKU-1006,Monitor 24inch,20,each,Electronics,12,2026-01-03
BOX-Rack-A4-L4-P1,SKU-1004,Wireless Mouse,51,each,Electronics,0.3,2026-02-03
BOX-Rack-A4-L4-P1,SKU-1002,Tablet Device,14,each,Electronics,1.2,2026-01-21
BOX-Rack-A4-L4-P2,SKU-2007,Cookware Set,13,set,Home Goods,15,2026-01-26
BOX-Rack-A4-L4-P3,SKU-2005,Throw Pillows 4pk,59,pack,Home Goods,3.2,2025-12-13
BOX-Rack-A4-L5-P1,SKU-3005,Battery 12V,11,each,Automotive,45,2026-01-04
BOX-Rack-A4-L5-P1,SKU-4004,Hex Bolt 1/2" 100pk,143,pack,Industrial,5,2026-01-21
BOX-Rack-A4-L5-P2,SKU-3004,Wiper Blades Pair,27,pair,Automotive,1.8,2026-01-03
BOX-Rack-A4-L5-P3,SKU-4008,Reflective Vest,56,each,Industrial,0.6,2026-01-02
BOX-Rack-A4-L5-P3,SKU-4006,Steel Cable 50ft,27,spool,Industrial,15,2026-01-19
BOX-Rack-A4-L6-P1,SKU-3001,Motor Oil 5qt,50,bottle,Automotive,10.5,2026-01-15
BOX-Rack-A4-L6-P1,SKU-4007,Caution Tape Roll,75,roll,Industrial,1,2026-01-27
BOX-Rack-A4-L7-P1,SKU-3010,Jumper Cables,42,each,Automotive,4,2025-12-27
BOX-Rack-A4-L7-P2,SKU-3007,Coolant 1gal,27,jug,Automotive,9.2,2026-01-13
BOX-Rack-A4-L7-P3,SKU-3001,Motor Oil 5qt,95,bottle,Automotive,10.5,2026-01-01
BOX-Rack-A5-L1-P1,SKU-1001,Laptop Computer,24,each,Electronics,5.5,2026-01-08
BOX-Rack-A5-L1-P1,SKU-2009,Wall Clock,28,each,Home Goods,2.5,2026-01-25
BOX-Rack-A5-L1-P2,SKU-1001,Laptop Computer,12,each,Electronics,5.5,2026-01-02
BOX-Rack-A5-L1-P3,SKU-1003,Smartphone,49,each,Electronics,0.4,2026-01-25
BOX-Rack-A5-L1-P3,SKU-1008,Headphones,40,each,Electronics,0.6,2025-12-22
BOX-Rack-A5-L2-P1,SKU-2003,Toaster,40,each,Home Goods,4.5,2025-12-11
BOX-Rack-A5-L2-P1,SKU-1002,Tablet Device,23,each,Electronics,1.2,2026-01-24
BOX-Rack-A5-L2-P2,SKU-1008,Headphones,36,each,Electronics,0.6,2026-01-10
BOX-Rack-A5-L2-P2,SKU-1003,Smartphone,47,each,Electronics,0.4,2025-12-28
BOX-Rack-A5-L2-P3,SKU-2006,Kitchen Knife Set,24,set,Home Goods,4.8,2025-12-19
BOX-Rack-A5-L3-P1,SKU-1006,Monitor 24inch,26,each,Electronics,12,2026-01-15
BOX-Rack-A5-L3-P2,SKU-1002,Tablet Device,12,each,Electronics,1.2,2025-12-13
BOX-Rack-A5-L3-P3,SKU-1001,Laptop Computer,17,each,Electronics,5.5,2025-12-15
BOX-Rack-A5-L4-P2,SKU-1007,USB Cable Pack,118,pack,Electronics,0.2,2025-12-12
BOX-Rack-A5-L4-P3,SKU-3003,Brake Pads Set,33,set,Automotive,8,2026-01-27
BOX-Rack-A5-L5-P1,SKU-4005,Lock Nut Assortment,64,box,Industrial,3.5,2025-12-09
BOX-Rack-A5-L5-P2,SKU-4001,Safety Goggles,126,each,Industrial,0.3,2026-01-02
BOX-Rack-A5-L5-P3,SKU-4004,Hex Bolt 1/2" 100pk,59,pack,Industrial,5,2026-01-30
BOX-Rack-A5-L5-P3,SKU-4001,Safety Goggles,173,each,Industrial,0.3,2025-12-20
BOX-Rack-A5-L6-P1,SKU-3008,Tool Set 52pc,34,set,Automotive,12,2026-01-01
BOX-Rack-A5-L6-P2,SKU-4009,LED Work Light,58,each,Industrial,2.5,2026-02-05
BOX-Rack-A5-L6-P2,SKU-3008,Tool Set 52pc,17,set,Automotive,12,2026-02-05
BOX-Rack-A5-L6-P3,SKU-3004,Wiper Blades Pair,48,pair,Automotive,1.8,2025-12-09
BOX-Rack-A5-L7-P1,SKU-4006,Steel Cable 50ft,32,spool,Industrial,15,2025-12-17
BOX-Rack-A5-L7-P3,SKU-4003,Hard Hat,50,each,Industrial,1.2,2025-12-09
BOX-Rack-A5-L7-P3,SKU-3004,Wiper Blades Pair,74,pair,Automotive,1.8,2025-12-10
BOX-Rack-A6-L1-P1,SKU-2010,Table Lamp,38,each,Home Goods,5.5,2026-01-07
BOX-Rack-A6-L1-P2,SKU-1004,Wireless Mouse,77,each,Electronics,0.3,2026-01-19
BOX-Rack-A6-L1-P3,SKU-1007,USB Cable Pack,71,pack,Electronics,0.2,2026-02-02
BOX-Rack-A6-L2-P1,SKU-2006,Kitchen Knife Set,23,set,Home Goods,4.8,2026-01-19
BOX-Rack-A6-L2-P2,SKU-1008,Headphones,68,each,Electronics,0.6,2026-01-09
BOX-Rack-A6-L2-P3,SKU-2007,Cookware Set,11,set,Home Goods,15,2025-12-19
BOX-Rack-A6-L3-P1,SKU-2003,Toaster,14,each,Home Goods,4.5,2026-01-26
BOX-Rack-A6-L3-P2,SKU-1004,Wireless Mouse,82,each,Electronics,0.3,2026-01-07
BOX-Rack-A6-L3-P2,SKU-1001,Laptop Computer,13,each,Electronics,5.5,2026-02-05
BOX-Rack-A6-L3-P3,SKU-2002,Blender,12,each,Home Goods,6.2,2026-02-01
BOX-Rack-A6-L4-P2,SKU-2008,Dinner Plates 12pk,32,pack,Home Goods,8,2026-01-06
BOX-Rack-A6-L4-P3,SKU-1005,Keyboard,75,each,Electronics,1.8,2025-12-29
BOX-Rack-A6-L5-P2,SKU-3003,Brake Pads Set,37,set,Automotive,8,2026-01-14
BOX-Rack-A6-L5-P3,SKU-4003,Hard Hat,36,each,Industrial,1.2,2025-12-18
BOX-Rack-A6-L6-P1,SKU-4003,Hard Hat,60,each,Industrial,1.2,2026-02-01
BOX-Rack-A6-L6-P1,SKU-3008,Tool Set 52pc,23,set,Automotive,12,2026-01-11
BOX-Rack-A6-L6-P2,SKU-4002,Work Gloves Pair,130,pair,Industrial,0.4,2025-12-11
BOX-Rack-A6-L6-P2,SKU-3001,Motor Oil 5qt,82,bottle,Automotive,10.5,2026-02-01
BOX-Rack-A6-L7-P1,SKU-3001,Motor Oil 5qt,59,bottle,Automotive,10.5,2026-01-17
BOX-Rack-A6-L7-P2,SKU-4001,Safety Goggles,122,each,Industrial,0.3,2025-12-12
BOX-Rack-A6-L7-P3,SKU-3001,Motor Oil 5qt,35,bottle,Automotive,10.5,2026-01-07
BOX-Rack-B1-L1-P1,SKU-1006,Monitor 24inch,23,each,Electronics,12,2025-12-17
BOX-Rack-B1-L1-P2,SKU-1001,Laptop Computer,8,each,Electronics,5.5,2026-01-02
BOX-Rack-B1-L1-P3,SKU-1008,Headphones,78,each,Electronics,0.6,2025-12-23
BOX-Rack-B1-L1-P3,SKU-1007,USB Cable Pack,134,pack,Electronics,0.2,2026-01-25
BOX-Rack-B1-L2-P1,SKU-1001,Laptop Computer,19,each,Electronics,5.5,2026-01-22
BOX-Rack-B1-L2-P2,SKU-2009,Wall Clock,37,each,Home Goods,2.5,2026-01-27
BOX-Rack-B1-L2-P2,SKU-2007,Cookware Set,12,set,Home Goods,15,2026-01-28
BOX-Rack-B1-L2-P3,SKU-1003,Smartphone,34,each,Electronics,0.4,2025-12-16
BOX-Rack-B1-L3-P1,SKU-2006,Kitchen Knife Set,17,set,Home Goods,4.8,2025-12-20
BOX-Rack-B1-L3-P1,SKU-2008,Dinner Plates 12pk,45,pack,Home Goods,8,2026-02-03
BOX-Rack-B1-L3-P2,SKU-2002,Blender,17,each,Home Goods,6.2,2026-01-20
BOX-Rack-B1-L3-P2,SKU-1001,Laptop Computer,22,each,Electronics,5.5,2026-01-20
BOX-Rack-B1-L3-P3,SKU-2008,Dinner Plates 12pk,48,pack,Home Goods,8,2026-01-19
BOX-Rack-B1-L3-P3,SKU-1004,Wireless Mouse,72,each,Electronics,0.3,2026-01-07
BOX-Rack-B1-L4-P1,SKU-3002,Air Filter,68,each,Automotive,1.5,2026-01-15
BOX-Rack-B1-L4-P1,SKU-1007,USB Cable Pack,100,pack,Electronics,0.2,2026-01-14
BOX-Rack-B1-L4-P2,SKU-1004,Wireless Mouse,39,each,Electronics,0.3,2026-01-15
BOX-Rack-B1-L4-P3,SKU-3004,Wiper Blades Pair,86,pair,Automotive,1.8,2025-12-27
BOX-Rack-B1-L4-P3,SKU-1001,Laptop Computer,15,each,Electronics,5.5,2026-01-06
BOX-Rack-B1-L5-P1,SKU-3001,Motor Oil 5qt,32,bottle,Automotive,10.5,2025-12-09
BOX-Rack-B1-L5-P2,SKU-4003,Hard Hat,41,each,Industrial,1.2,2026-01-07
BOX-Rack-B1-L5-P2,SKU-3006,Spark Plug 4pk,65,pack,Automotive,0.8,2026-01-10
BOX-Rack-B1-L5-P3,SKU-3005,Battery 12V,9,each,Automotive,45,2026-01-07
BOX-Rack-B1-L6-P2,SKU-3010,Jumper Cables,41,each,Automotive,4,2026-01-02
BOX-Rack-B1-L6-P2,SKU-4006,Steel Cable 50ft,16,spool,Industrial,15,2026-01-19
BOX-Rack-B1-L7-P1,SKU-3009,Floor Mat Set,39,set,Automotive,6.5,2025-12-12
BOX-Rack-B1-L7-P2,SKU-3008,Tool Set 52pc,38,set,Automotive,12,2025-12-16
BOX-Rack-B1-L7-P2,SKU-4004,Hex Bolt 1/2" 100pk,119,pack,Industrial,5,2026-01-14
BOX-Rack-B1-L7-P3,SKU-3006,Spark Plug 4pk,66,pack,Automotive,0.8,2026-01-14
BOX-Rack-B2-L1-P1,SKU-1004,Wireless Mouse,52,each,Electronics,0.3,2025-12-29
BOX-Rack-B2-L1-P2,SKU-1001,Laptop Computer,22,each,Electronics,5.5,2026-01-05
BOX-Rack-B2-L1-P2,SKU-2006,Kitchen Knife Set,18,set,Home Goods,4.8,2025-12-31
BOX-Rack-B2-L1-P3,SKU-1009,Webcam HD,37,each,Electronics,0.8,2026-02-04
BOX-Rack-B2-L1-P3,SKU-2005,Throw Pillows 4pk,38,pack,Home Goods,3.2,2025-12-31
BOX-Rack-B2-L2-P1,SKU-1010,Power Bank,40,each,Electronics,0.9,2026-01-15
BOX-Rack-B2-L2-P1,SKU-1001,Laptop Computer,16,each,Electronics,5.5,2026-01-29
BOX-Rack-B2-L2-P2,SKU-1006,Monitor 24inch,15,each,Electronics,12,2025-12-25
BOX-Rack-B2-L2-P3,SKU-1010,Power Bank,61,each,Electronics,0.9,2026-01-13
BOX-Rack-B2-L2-P3,SKU-1002,Tablet Device,34,each,Electronics,1.2,2025-12-16
BOX-Rack-B2-L3-P1,SKU-2006,Kitchen Knife Set,29,set,Home Goods,4.8,2026-02-03
BOX-Rack-B2-L3-P1,SKU-1003,Smartphone,43,each,Electronics,0.4,2025-12-30
BOX-Rack-B2-L3-P2,SKU-2003,Toaster,43,each,Home Goods,4.5,2025-12-09
BOX-Rack-B2-L3-P3,SKU-2010,Table Lamp,30,each,Home Goods,5.5,2026-02-04
BOX-Rack-B2-L3-P3,SKU-2009,Wall Clock,65,each,Home Goods,2.5,2026-01-05
BOX-Rack-B2-L4-P1,SKU-1010,Power Bank,115,each,Electronics,0.9,2025-12-13
BOX-Rack-B2-L4-P2,SKU-4003,Hard Hat,70,each,Industrial,1.2,2025-12-19
BOX-Rack-B2-L4-P3,SKU-3002,Air Filter,55,each,Automotive,1.5,2026-02-04
BOX-Rack-B2-L5-P1,SKU-4004,Hex Bolt 1/2" 100pk,58,pack,Industrial,5,2026-01-30
BOX-Rack-B2-L5-P3,SKU-3003,Brake Pads Set,23,set,Automotive,8,2026-01-27
BOX-Rack-B2-L6-P1,SKU-3002,Air Filter,61,each,Automotive,1.5,2025-12-18
BOX-Rack-B2-L6-P1,SKU-4009,LED Work Light,37,each,Industrial,2.5,2026-01-24
BOX-Rack-B2-L6-P2,SKU-3008,Tool Set 52pc,16,set,Automotive,12,2025-12-22
BOX-Rack-B2-L6-P3,SKU-3001,Motor Oil 5qt,39,bottle,Automotive,10.5,2026-01-07
BOX-Rack-B2-L7-P1,SKU-4001,Safety Goggles,134,each,Industrial,0.3,2025-12-30
BOX-Rack-B2-L7-P1,SKU-3009,Floor Mat Set,39,set,Automotive,6.5,2026-01-16
BOX-Rack-B2-L7-P3,SKU-3010,Jumper Cables,41,each,Automotive,4,2026-02-04
BOX-Rack-B3-L1-P1,SKU-1007,USB Cable Pack,109,pack,Electronics,0.2,2026-02-05
BOX-Rack-B3-L1-P2,SKU-1004,Wireless Mouse,86,each,Electronics,0.3,2025-12-23
BOX-Rack-B3-L1-P2,SKU-1009,Webcam HD,26,each,Electronics,0.8,2025-12-29
BOX-Rack-B3-L1-P3,SKU-2008,Dinner Plates 12pk,29,pack,Home Goods,8,2026-01-05
BOX-Rack-B3-L2-P1,SKU-1009,Webcam HD,47,each,Electronics,0.8,2026-02-02
BOX-Rack-B3-L2-P2,SKU-1009,Webcam HD,40,each,Electronics,0.8,2025-12-20
BOX-Rack-B3-L2-P3,SKU-2008,Dinner Plates 12pk,26,pack,Home Goods,8,2026-01-23
BOX-Rack-B3-L2-P3,SKU-2002,Blender,32,each,Home Goods,6.2,2025-12-16
BOX-Rack-B3-L3-P1,SKU-1007,USB Cable Pack,112,pack,Electronics,0.2,2026-02-06
BOX-Rack-B3-L3-P1,SKU-1010,Power Bank,95,each,Electronics,0.9,2025-12-23
BOX-Rack-B3-L3-P2,SKU-1004,Wireless Mouse,40,each,Electronics,0.3,2026-01-10
BOX-Rack-B3-L3-P2,SKU-1006,Monitor 24inch,27,each,Electronics,12,2026-01-19
BOX-Rack-B3-L3-P3,SKU-1010,Power Bank,97,each,Electronics,0.9,2026-01-28
BOX-Rack-B3-L4-P1,SKU-2006,Kitchen Knife Set,28,set,Home Goods,4.8,2026-01-23
BOX-Rack-B3-L4-P1,SKU-4005,Lock Nut Assortment,104,box,Industrial,3.5,2026-01-17
BOX-Rack-B3-L4-P3,SKU-1004,Wireless Mouse,41,each,Electronics,0.3,2025-12-27
BOX-Rack-B3-L4-P3,SKU-2009,Wall Clock,34,each,Home Goods,2.5,2025-12-09
BOX-Rack-B3-L5-P1,SKU-4006,Steel Cable 50ft,16,spool,Industrial,15,2025-12-12
BOX-Rack-B3-L5-P1,SKU-4010,Measuring Tape 25ft,76,each,Industrial,1.1,2026-01-17
BOX-Rack-B3-L5-P2,SKU-4002,Work Gloves Pair,153,pair,Industrial,0.4,2025-12-25
BOX-Rack-B3-L6-P1,SKU-3006,Spark Plug 4pk,58,pack,Automotive,0.8,2026-01-25
BOX-Rack-B3-L6-P2,SKU-3009,Floor Mat Set,19,set,Automotive,6.5,2026-01-16
BOX-Rack-B3-L7-P1,SKU-4006,Steel Cable 50ft,26,spool,Industrial,15,2026-01-23
BOX-Rack-B3-L7-P3,SKU-4010,Measuring Tape 25ft,38,each,Industrial,1.1,2026-01-21
BOX-Rack-B4-L1-P2,SKU-2006,Kitchen Knife Set,15,set,Home Goods,4.8,2025-12-21
BOX-Rack-B4-L1-P3,SKU-1010,Power Bank,87,each,Electronics,0.9,2025-12-20
BOX-Rack-B4-L2-P1,SKU-1009,Webcam HD,18,each,Electronics,0.8,2026-01-12
BOX-Rack-B4-L2-P2,SKU-1004,Wireless Mouse,70,each,Electronics,0.3,2026-01-15
BOX-Rack-B4-L2-P2,SKU-1006,Monitor 24inch,15,each,Electronics,12,2026-01-09
BOX-Rack-B4-L2-P3,SKU-1007,USB Cable Pack,96,pack,Electronics,0.2,2026-01-07
BOX-Rack-B4-L2-P3,SKU-1001,Laptop Computer,12,each,Electronics,5.5,2026-02-01
BOX-Rack-B4-L3-P1,SKU-2004,Bedding Set Queen,11,set,Home Goods,7,2026-02-06
BOX-Rack-B4-L3-P2,SKU-1002,Tablet Device,17,each,Electronics,1.2,2026-01-04
BOX-Rack-B4-L3-P3,SKU-1006,Monitor 24inch,14,each,Electronics,12,2025-12-16
BOX-Rack-B4-L3-P3,SKU-1007,USB Cable Pack,111,pack,Electronics,0.2,2025-12-13
BOX-Rack-B4-L4-P1,SKU-4001,Safety Goggles,74,each,Industrial,0.3,2025-12-20
BOX-Rack-B4-L4-P2,SKU-1008,Headphones,54,each,Electronics,0.6,2026-02-01
BOX-Rack-B4-L4-P3,SKU-1008,Headphones,74,each,Electronics,0.6,2026-01-11
BOX-Rack-B4-L5-P2,SKU-3001,Motor Oil 5qt,78,bottle,Automotive,10.5,2026-01-31
BOX-Rack-B4-L6-P1,SKU-3007,Coolant 1gal,41,jug,Automotive,9.2,2026-01-08
BOX-Rack-B4-L6-P1,SKU-4009,LED Work Light,47,each,Industrial,2.5,2025-12-26
BOX-Rack-B4-L6-P2,SKU-3008,Tool Set 52pc,35,set,Automotive,12,2026-01-29
BOX-Rack-B4-L6-P2,SKU-3007,Coolant 1gal,53,jug,Automotive,9.2,2026-01-20
BOX-Rack-B4-L6-P3,SKU-3001,Motor Oil 5qt,93,bottle,Automotive,10.5,2025-12-29
BOX-Rack-B4-L7-P1,SKU-4009,LED Work Light,51,each,Industrial,2.5,2025-12-18
BOX-Rack-B4-L7-P1,SKU-3003,Brake Pads Set,29,set,Automotive,8,2026-01-15
BOX-Rack-B4-L7-P2,SKU-3009,Floor Mat Set,27,set,Automotive,6.5,2025-12-25
BOX-Rack-B4-L7-P3,SKU-4009,LED Work Light,66,each,Industrial,2.5,2026-01-25
BOX-Rack-B4-L7-P3,SKU-3006,Spark Plug 4pk,61,pack,Automotive,0.8,2025-12-19
BOX-Rack-B5-L1-P1,SKU-1004,Wireless Mouse,46,each,Electronics,0.3,2026-01-10
BOX-Rack-B5-L1-P2,SKU-2003,Toaster,20,each,Home Goods,4.5,2026-01-08
BOX-Rack-B5-L1-P2,SKU-2008,Dinner Plates 12pk,21,pack,Home Goods,8,2026-01-24
BOX-Rack-B5-L1-P3,SKU-1001,Laptop Computer,24,each,Electronics,5.5,2026-01-27
BOX-Rack-B5-L1-P3,SKU-1006,Monitor 24inch,29,each,Electronics,12,2026-01-21
BOX-Rack-B5-L2-P1,SKU-1010,Power Bank,91,each,Electronics,0.9,2026-01-20
BOX-Rack-B5-L2-P2,SKU-1009,Webcam HD,28,each,Electronics,0.8,2026-01-26
BOX-Rack-B5-L2-P2,SKU-2008,Dinner Plates 12pk,24,pack,Home Goods,8,2025-12-13
BOX-Rack-B5-L2-P3,SKU-2008,Dinner Plates 12pk,40,pack,Home Goods,8,2025-12-21
BOX-Rack-B5-L2-P3,SKU-2009,Wall Clock,47,each,Home Goods,2.5,2026-01-20
BOX-Rack-B5-L3-P1,SKU-1004,Wireless Mouse,33,each,Electronics,0.3,2026-02-05
BOX-Rack-B5-L3-P1,SKU-1002,Tablet Device,16,each,Electronics,1.2,2025-12-25
